name,host_name,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,beds,price,review_scores_rating
Rental unit in Madrid · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,Belén,t,Cortes,Centro,40.41309,-3.69775,Habitación privada,2,1.0,$50.00,4.85
Rental unit in Madrid · ★4.78 · 1 bedroom · 2 beds · 1 bath,Elena,f,Embajadores,Centro,40.41015,-3.69797,Casa entera,3,2.0,$106.00,4.78
Rental unit in Madrid · ★4.39 · 3 bedrooms · 4 beds · 1.5 baths,The Punset Family,f,Almenara,Tetuán,40.47148,-3.68946,Casa entera,6,4.0,$117.00,4.39
Rental unit in Madrid · ★4.61 · 3 bedrooms · 4 beds · 2 baths,Maribel,f,Goya,Salamanca,40.42274,-3.66972,Casa entera,5,4.0,$160.00,4.61
Rental unit in Madrid · ★4.41 · 3 bedrooms · 3 beds · 2.5 baths,The Punset Family,f,Fuente del Berro,Salamanca,40.42881,-3.66605,Casa entera,6,3.0,$124.00,4.41
Rental unit in Madrid · ★4.57 · 1 bedroom · 1 bed · 1 bath,Gabriel Avalos,t,Recoletos,Salamanca,40.42297,-3.69095,Casa entera,2,1.0,$131.00,4.57
Rental unit in Madrid · ★4.73 · 2 bedrooms · 3 beds · 1 bath,Juanpe,f,Universidad,Centro,40.4249,-3.7097,Casa entera,3,3.0,$70.00,4.73
Rental unit in Madrid · ★4.63 · 3 bedrooms · 4 beds · 1 bath,Jose,f,Universidad,Centro,40.4256,-3.70436,Casa entera,6,4.0,$139.00,4.63
Rental unit in Madrid · ★4.35 · 2 bedrooms · 2 beds · 1 bath,Wanda,f,Embajadores,Centro,40.40683,-3.69932,Casa entera,3,2.0,$65.00,4.35
Rental unit in Madrid · ★4.24 · 2 bedrooms · 4 beds · 1.5 shared baths,Claudia,f,Lista,Salamanca,40.43003,-3.67429,Habitación compartida,2,4.0,$70.00,4.24
Rental unit in Madrid · ★4.85 · 1 bedroom · 2 beds · 1 bath,Susana,f,Embajadores,Centro,40.40913,-3.699,Casa entera,2,2.0,$120.00,4.85
Loft in Madrid · ★4.72 · 1 bedroom · 1 bed · 1 bath,José,t,Embajadores,Centro,40.41389,-3.70461,Casa entera,4,1.0,$136.00,4.72
Rental unit in Madrid · ★4.88 · 1 bedroom · 1 bed · 1 bath,Pilar,f,Puerta del Angel,Latina,40.41016,-3.72863,Habitación privada,2,1.0,$20.00,4.88
Rental unit in Madrid · ★4.55 · 2 bedrooms · 1 shared bath,Jeanet,f,Cuatro Caminos,Tetuán,40.447,-3.70291,Habitación privada,1,,$23.00,4.55
Loft in Madrid · ★3.60 · Studio · 2 beds · 1 bath,Susana,f,El Viso,Chamartín,40.44374,-3.68161,Casa entera,2,2.0,$100.00,3.6
Rental unit in Madrid · 1 bedroom · 1 bed · 2 baths,Alfredo,f,Trafalgar,Chamberí,40.42993,-3.70339,Habitación privada,2,1.0,$30.00,
Home in Madrid · ★4.74 · 2 bedrooms · 6 beds · 1 bath,Pilar,t,Casco Histórico de Barajas,Barajas,40.4739,-3.57583,Casa entera,8,6.0,$99.00,4.74
Home in Madrid · ★4.50 · 2 bedrooms · 3 beds · 2 baths,Ane,f,Embajadores,Centro,40.41151,-3.70257,Casa entera,6,3.0,$190.00,4.5
Rental unit in Madrid · ★4.81 · 1 bedroom · 1 bed · 1.5 baths,Luz,f,Sol,Centro,40.41697,-3.70732,Casa entera,4,1.0,$99.00,4.81
Loft in Madrid · ★4.94 · 1 bedroom · 1 bed · 1 bath,Ana,f,Palacio,Centro,40.4158,-3.70962,Casa entera,2,1.0,$200.00,4.94
Rental unit in Madrid · ★4.87 · 1 bedroom · 2 beds · 1 shared bath,Sara,f,Alameda de Osuna,Barajas,40.45319,-3.592383,Habitación privada,2,2.0,$33.00,4.87
Condo in Madrid · ★4.85 · 1 bedroom · 1 bed · 1 private bath,Amparo,t,San Fermín,Usera,40.36725,-3.68875,Habitación privada,1,1.0,$43.00,4.85
Rental unit in Madrid · ★4.65 · 1 bedroom · 4 beds · 1 bath,Paloma,t,Universidad,Centro,40.42616,-3.70263,Casa entera,5,4.0,$121.00,4.65
Rental unit in Madrid · ★4.66 · 2 bedrooms · 2 beds · 1.5 baths,Fernando,f,Sol,Centro,40.41906,-3.70627,Casa entera,4,2.0,$134.00,4.66
Rental unit in Madrid · ★4.90 · 1 bedroom · 1 bed · 2 baths,Arman,t,Palacio,Centro,40.41222,-3.71365,Casa entera,2,1.0,$95.00,4.9
Rental unit in Madrid · ★4.84 · 1 bedroom · 1 bed · 1 bath,Miguel,f,Palos de Moguer,Arganzuela,40.40661,-3.6952,Casa entera,3,1.0,$85.00,4.84
Condo in Madrid · ★4.57 · 1 bedroom · 1 bed · 1 bath,Lara,f,Sol,Centro,40.41596,-3.70846,Casa entera,1,1.0,$106.00,4.57
Loft in Madrid · ★4.88 · 1 bedroom · 1 bed · 1 bath,Lucrecia,t,Valverde,Fuencarral - El Pardo,40.50069,-3.68994,Casa entera,2,1.0,$50.00,4.88
Rental unit in Madrid · 1 bedroom · 2 beds · 1 bath,Raúl,f,Castellana,Salamanca,40.4312,-3.68502,Casa entera,4,2.0,$110.00,4.5
Rental unit in Madrid · ★4.78 · 2 bedrooms · 3 beds · 2 baths,Norah,t,Justicia,Centro,40.42536,-3.69887,Casa entera,6,3.0,$140.00,4.78
Rental unit in Madrid · ★4.43 · 1 bedroom · 2 beds · 1 bath,Nuria,,Embajadores,Centro,40.4107,-3.70253,Casa entera,4,2.0,$130.00,4.43
Rental unit in Madrid · ★4.34 · 2 bedrooms · 2 beds · 1 bath,Patricia,f,Berruguete,Tetuán,40.457,-3.70436,Habitación privada,2,2.0,$26.00,4.34
Rental unit in Madrid · ★4.26 · 2 bedrooms · 2 beds · 1 bath,Irma,t,San Diego,Puente de Vallecas,40.39368,-3.66975,Casa entera,4,2.0,$50.00,4.26
Home in Madrid · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,Ivaylo,t,Lucero,Latina,40.40743,-3.74293,Habitación privada,1,1.0,$30.00,4.87
Loft in Madrid · ★4.75 · 1 bedroom · 2 beds · 1 bath,Angel L.,f,Embajadores,Centro,40.41212,-3.69983,Casa entera,2,2.0,$100.00,4.75
Rental unit in Madrid · ★0.0 · 1 bedroom · 3 beds · 1 bath,Aurora,f,San Diego,Puente de Vallecas,40.39366,-3.66535,Habitación privada,2,3.0,$45.00,0.0
Serviced apartment in Madrid · ★4.79 · 2 bedrooms · 5 beds · 2 baths,Rocio,t,Sol,Centro,40.41534,-3.70757,Casa entera,7,5.0,$163.00,4.79
Rental unit in Madrid · ★4.75 · Studio · 1 bed · 1 bath,Cristina,t,Palacio,Centro,40.41744,-3.70873,Casa entera,2,1.0,$77.00,4.75
Rental unit in Madrid · ★4.82 · 2 bedrooms · 5 beds · 2 baths,Rocio,t,Palacio,Centro,40.41826,-3.71244,Casa entera,6,5.0,$149.00,4.82
Home in Madrid · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,Charo,t,Trafalgar,Chamberí,40.43653,-3.70421,Habitación privada,1,1.0,$38.00,4.92
Rental unit in Madrid · ★5.0 · 1 bedroom · 2 beds · 1 bath,María,f,Sol,Centro,40.41769,-3.69974,Casa entera,4,2.0,$70.00,5.0
Rental unit in Madrid · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,Sonia,f,Prosperidad,Chamartín,40.43922,-3.67574,Habitación privada,1,1.0,$23.00,4.84
Home in Madrid · ★5.0 · 1 bedroom · 1 bed · 1 bath,Elisa,f,Ibiza,Retiro,40.41731,-3.6731,Habitación privada,1,1.0,$50.00,5.0
Rental unit in Madrid · ★4.83 · Studio · 2 beds · 1 bath,Cristina,t,Palacio,Centro,40.41771,-3.70925,Casa entera,3,2.0,$83.00,4.83
